SI_LONG SI_LATI code_square
4.251 52.5 33F4
4.251 65.99 60F4
4.251 61.49 51F4
4.251 60.59 50F4
4.251 64.19 57F4
4.251 55.19 39F4
4.252 56.99 42F4
4.252 63.29 55F4
4.252 56.09 41F4
4.252 58.79 46F4
4.283 52.1 33F4
4.6 52.47 33F4
4.767 52.97 34F4
4.867 53.03 35F4
5.033 52.93 34F5
5.333 53.07 35F5
5.417 53.18 35F5
5.6 52.67 34F5
5.731 56.09 41F5
5.731 54.3 37F5
5.731 56.99 42F5
5.731 62.39 53F5
5.731 63.29 55F5
5.731 65.09 59F5
5.731 57.89 44F5
5.731 59.69 48F5
5.731 65.99 60F5
5.731 64.19 57F5
5.731 53.4 35F5
5.731 55.19 39F5
5.731 66.88 62F5
6 58.45 45F6
6.204 53.41 35F6
6.214 53.42 35F6
6.748 53.56 36F6
6.817 53.45 35F6
7.1 53.5 36F7
7.158 53.62 36F7
7.163 53.7 36F7
7.2 53.37 35F7
7.21 64.19 57F7
7.21 66.89 62F7
7.21 65.99 60F7
7.21 55.19 39F7
7.21 56.99 42F7
7.21 56.09 41F7
7.21 54.29 37F7
7.21 65.09 59F7
7.21 63.29 55F7
7.21 57.89 44F7
7.275 53.31 35F7
7.366 53.72 36F7
7.5 56.72 42F7
7.5 54.08 37F7
7.5 57.32 43F7
7.5 55.76 40F7
7.5 57.56 44F7
7.5 54.44 37F7
7.5 57.8 44F7
7.5 55.88 40F7
7.5 55.16 39F7
7.5 57.68 44F7
7.5 55.52 40F7
7.5 57.2 43F7
7.5 54.92 38F7
7.5 56 40F7
7.5 55.64 40F7
7.5 56.96 42F7
7.5 54.56 38F7
7.5 55.04 39F7
7.5 54.8 38F7
7.5 56.36 41F7
7.5 57.08 43F7
7.5 56.84 42F7
7.5 53.96 36F7
7.5 56.6 42F7
7.5 54.2 37F7
7.5 56.12 41F7
7.5 55.28 39F7
7.5 54.68 38F7
7.5 56.24 41F7
7.5 53.84 36F7
7.5 57.92 44F7
7.5 57.44 43F7
7.5 55.4 39F7
7.5 56.48 41F7
7.5 54.32 37F7
7.575 53.68 36F7
7.697 57.68 44F7
7.697 54.08 37F7
7.697 56.48 41F7
7.697 56.6 42F7
7.697 54.92 38F7
7.697 54.32 37F7
7.697 55.64 40F7
7.697 56.96 42F7
7.697 55.04 39F7
7.697 56 40F7
7.697 57.8 44F7
7.697 56.72 42F7
7.697 54.56 38F7
7.697 54.44 37F7
7.697 54.8 38F7
7.697 53.72 36F7
7.697 58.04 45F7
7.697 57.44 43F7
7.697 54.68 38F7
7.697 53.84 36F7
7.697 56.12 41F7
7.697 55.16 39F7
7.697 55.28 39F7
7.697 55.76 40F7
7.697 57.92 44F7
7.697 55.88 40F7
7.697 57.56 44F7
7.697 56.36 41F7
7.697 57.32 43F7
7.697 57.08 43F7
7.697 53.96 36F7
7.697 54.2 37F7
7.697 56.24 41F7
7.697 55.4 39F7
7.697 57.2 43F7
7.697 55.52 40F7
7.697 56.84 42F7
7.703 53.7 36F7
7.808 53.71 36F7
7.889 54.18 37F7
7.894 53.84 36F7
7.894 57.08 43F7
7.894 56.6 42F7
7.894 53.96 36F7
7.894 57.2 43F7
7.894 57.68 44F7
7.894 57.44 43F7
7.894 57.32 43F7
7.894 56.36 41F7
7.894 56.72 42F7
7.894 54.92 38F7
7.894 57.8 44F7
7.894 57.92 44F7
7.894 56.24 41F7
7.894 55.28 39F7
7.894 55.52 40F7
7.894 55.76 40F7
7.894 56.48 41F7
7.894 54.8 38F7
7.894 54.68 38F7
7.894 57.56 44F7
7.894 55.88 40F7
7.894 54.2 37F7
7.895 54.32 37F7
7.895 56.12 41F7
7.895 58.04 45F7
7.895 55.04 39F7
7.895 56 40F7
7.895 56.84 42F7
7.895 55.4 39F7
7.895 56.96 42F7
7.895 55.16 39F7
7.895 54.56 38F7
7.895 54.44 37F7
7.895 55.64 40F7
7.895 54.08 37F7
8.022 53.68 36F8
8.083 53.64 36F8
8.091 57.56 44F8
8.092 56.72 42F8
8.092 56.12 41F8
8.092 55.76 40F8
8.092 54.2 37F8
8.092 56.48 41F8
8.092 57.08 43F8
8.092 53.72 36F8
8.092 55.28 39F8
8.092 56.6 42F8
8.092 54.56 38F8
8.092 57.68 44F8
8.092 54.92 38F8
8.092 56.96 42F8
8.092 54.32 37F8
8.092 57.44 43F8
8.092 57.2 43F8
8.092 55.16 39F8
8.092 54.8 38F8
8.092 53.48 35F8
8.092 56.36 41F8
8.092 54.68 38F8
8.092 55.4 39F8
8.092 55.64 40F8
8.092 55.04 39F8
8.092 53.84 36F8
8.092 56 40F8
8.092 55.52 40F8
8.092 57.92 44F8
8.092 54.08 37F8
8.092 57.8 44F8
8.092 55.88 40F8
8.092 58.04 45F8
8.092 53.96 36F8
8.092 57.32 43F8
8.092 54.44 37F8
8.092 56.84 42F8
8.092 56.24 41F8
8.108 53.44 35F8
8.12 56.37 41F8
8.128 56 41F8
8.165 53.54 36F8
8.183 55.74 40F8
8.183 53.41 35F8
8.212 56.7 42F8
8.219 56.7 42F8
8.222 56.7 42F8
8.255 56.78 42F8
8.263 56.19 41F8
8.289 54.44 37F8
8.289 54.32 37F8
8.289 57.56 44F8
8.289 55.16 39F8
8.289 54.68 38F8
8.289 57.8 44F8
8.289 56.96 42F8
8.289 53.96 36F8
8.289 55.04 39F8
8.289 58.04 45F8
8.289 53.72 36F8
8.289 57.32 43F8
8.289 55.28 39F8
8.289 53.84 36F8
8.289 57.08 43F8
8.289 54.92 38F8
8.289 55.4 39F8
8.289 53.48 35F8
8.289 54.2 37F8
8.289 57.92 44F8
8.289 54.56 38F8
8.289 57.44 43F8
8.289 57.2 43F8
8.289 57.68 44F8
8.289 54.08 37F8
8.295 54.76 38F8
8.297 54.76 38F8
8.304 56.55 42F8
8.356 53.6 36F8
8.382 54.63 38F8
8.396 54.63 38F8
8.424 55.47 39F8
8.429 56.2 41F8
8.442 55.02 39F8
8.483 53.33 35F8
8.486 57.68 44F8
8.486 57.44 43F8
8.486 53.96 36F8
8.486 54.32 37F8
8.486 58.04 45F8
8.486 57.08 43F8
8.486 54.92 38F8
8.486 53.84 36F8
8.486 54.2 37F8
8.486 57.56 44F8
8.486 53.6 36F8
8.486 58.16 45F8
8.486 57.8 44F8
8.486 55.28 39F8
8.486 57.2 43F8
8.486 54.08 37F8
8.486 57.92 44F8
8.486 54.8 38F8
8.486 55.04 39F8
8.486 53.72 36F8
8.486 55.4 39F8
8.486 57.32 43F8
8.486 54.56 38F8
8.491 53.65 36F8
8.516 53.74 36F8
8.533 54.58 38F8
8.544 53.79 36F8
8.548 56.58 42F8
8.565 55.09 39F8
8.573 53.54 36F8
8.575 54.69 38F8
8.583 54.3 37F8
8.607 57.12 43F8
8.631 54.26 37F8
8.683 58.04 45F8
8.683 57.32 43F8
8.683 53.96 36F8
8.683 58.16 45F8
8.683 57.56 44F8
8.683 57.8 44F8
8.683 58.28 45F8
8.683 54.2 37F8
8.683 57.44 43F8
8.683 54.44 37F8
8.683 57.68 44F8
8.683 57.92 44F8
8.684 57.2 43F8
8.688 54.52 38F8
8.689 57.89 44F8
8.689 65.09 59F8
8.689 64.19 57F8
8.689 66.88 62F8
8.689 65.99 60F8
8.692 54.73 38F8
8.702 54.5 38F8
8.754 54.68 38F8
8.8 54.28 37F8
8.808 54.5 37F8
8.838 54.03 37F8
8.842 53.82 36F8
8.847 54.26 37F8
8.85 54.13 37F8
8.857 54.12 37F8
8.88 57.56 44F8
8.881 53.84 36F8
8.881 54.56 38F8
8.881 57.68 44F8
8.881 57.2 43F8
8.881 57.8 44F8
8.881 58.28 45F8
8.881 57.44 43F8
8.881 58.4 45F8
8.881 54.08 37F8
8.881 54.44 37F8
8.881 58.04 45F8
8.881 57.92 44F8
8.881 57.32 43F8
8.881 58.16 45F8
8.953 54.08 37F8
9.017 53.9 36F9
9.031 53.87 36F9
9.034 57.16 43F9
9.045 54.48 37F9
9.078 57.2 43F9
9.078 58.4 45F9
9.078 57.8 44F9
9.078 57.44 43F9
9.078 57.32 43F9
9.078 58.28 45F9
9.078 57.92 44F9
9.078 58.16 45F9
9.078 57.68 44F9
9.078 58.04 45F9
9.078 57.56 44F9
9.078 58.52 46F9
9.1 53.8 36F9
9.128 57.26 43F9
9.156 53.9 36F9
9.231 58.72 46F9
9.275 57.32 43F9
9.275 57.56 44F9
9.275 58.64 46F9
9.275 57.2 43F9
9.275 58.16 45F9
9.275 58.04 45F9
9.275 57.8 44F9
9.275 58.4 45F9
9.275 57.92 44F9
9.275 58.28 45F9
9.275 58.52 46F9
9.275 57.44 43F9
9.275 57.68 44F9
9.297 54.02 37F9
9.367 53.81 36F9
9.404 53.76 36F9
9.417 53.78 36F9
9.421 55.04 39F9
9.441 54.82 38F9
9.472 58.64 46F9
9.472 58.04 45F9
9.472 58.76 46F9
9.472 57.8 44F9
9.472 57.32 43F9
9.472 58.28 45F9
9.472 57.56 44F9
9.472 58.52 46F9
9.472 53.72 36F9
9.472 57.44 43F9
9.472 58.4 45F9
9.473 57.68 44F9
9.473 58.16 45F9
9.473 57.92 44F9
9.488 53.72 36F9
9.515 54.84 38F9
9.552 55.16 39F9
9.552 54.87 38F9
9.552 55.05 39F9
9.572 53.63 36F9
9.589 55.09 39F9
9.589 55.07 39F9
9.589 54.89 38F9
9.589 55.14 39F9
9.589 55.16 39F9
9.592 57.25 43F9
9.626 55.09 39F9
9.626 55.16 39F9
9.626 54.84 38F9
9.626 55.14 39F9
9.626 55.07 39F9
9.626 55.11 39F9
9.63 55.51 40F9
9.663 55.32 39F9
9.663 55.14 39F9
9.663 55.11 39F9
9.663 55.41 39F9
9.663 55.38 39F9
9.663 55.36 39F9
9.663 55.16 39F9
9.663 54.84 38F9
9.663 55.09 39F9
9.67 58.16 45F9
9.67 58.88 46F9
9.67 58.04 45F9
9.67 58.4 45F9
9.67 58.52 46F9
9.67 57.92 44F9
9.67 57.44 43F9
9.67 57.68 44F9
9.67 58.76 46F9
9.67 58.28 45F9
9.67 58.64 46F9
9.67 57.56 44F9
9.67 57.8 44F9
9.678 53.57 36F9
9.7 55.14 39F9
9.7 55.18 39F9
9.7 55.38 39F9
9.7 55.16 39F9
9.7 55.43 39F9
9.7 55.34 39F9
9.7 55.11 39F9
9.7 55.41 39F9
9.7 55.29 39F9
9.7 55.36 39F9
9.7 55.32 39F9
9.712 55.26 39F9
9.716 57.37 43F9
9.736 55.36 39F9
9.737 54.82 38F9
9.737 55.29 39F9
9.737 55.2 39F9
9.737 55.34 39F9
9.737 55.23 39F9
9.737 55.16 39F9
9.737 55.18 39F9
9.737 55.38 39F9
9.737 55.11 39F9
9.737 55.41 39F9
9.737 55.14 39F9
9.737 55.32 39F9
9.752 54.81 38F9
9.762 54.84 38F9
9.773 54.87 38F9
9.774 55.16 39F9
9.774 55.41 39F9
9.774 54.82 38F9
9.774 55.2 39F9
9.774 55.11 39F9
9.774 55.34 39F9
9.774 55.65 40F9
9.774 55.23 39F9
9.774 55.32 39F9
9.774 55.29 39F9
9.774 55.14 39F9
9.774 55.18 39F9
9.783 54.91 38F9
9.81 55.09 39F9
9.811 55.16 39F9
9.811 55.14 39F9
9.811 55.25 39F9
9.811 55.27 39F9
9.811 55.2 39F9
9.811 54.84 38F9
9.811 54.82 38F9
9.811 55.11 39F9
9.811 55.65 40F9
9.811 54.8 38F9
9.811 55.18 39F9
9.811 54.87 38F9
9.811 55.23 39F9
9.838 54.48 37F9
9.838 53.55 36F9
9.848 54.87 38F9
9.848 55.16 39F9
9.848 55.32 39F9
9.848 55.09 39F9
9.848 55.11 39F9
9.848 54.8 38F9
9.848 55.59 40F9
9.848 55.2 39F9
9.848 54.84 38F9
9.848 55.14 39F9
9.848 55.65 40F9
9.848 55.07 39F9
9.848 55.27 39F9
9.848 55.25 39F9
9.848 55.29 39F9
9.848 54.78 38F9
9.848 54.82 38F9
9.848 55.23 39F9
9.848 55.18 39F9
9.867 58.64 46F9
9.867 58.04 45F9
9.867 58.4 45F9
9.867 58.88 46F9
9.867 58.16 45F9
9.867 58.28 45F9
9.867 58.52 46F9
9.867 57.68 44F9
9.867 57.8 44F9
9.867 57.56 44F9
9.867 58.76 46F9
9.867 57.92 44F9
9.884 55.16 39F9
9.884 55.14 39F9
9.884 55.09 39F9
9.884 55.63 40F9
9.885 54.8 38F9
9.885 55.59 40F9
9.885 55.11 39F9
9.885 55.05 39F9
9.885 55.61 40F9
9.885 55.2 39F9
9.885 55.18 39F9
9.885 54.78 38F9
9.885 55.23 39F9
9.885 55.56 40F9
9.885 55.54 40F9
9.885 54.82 38F9
9.885 54.84 38F9
9.885 55.07 39F9
9.885 55.65 40F9
9.888 55.27 39F9
9.921 55.54 40F9
9.921 55.56 40F9
9.921 55.63 40F9
9.921 55.2 39F9
9.921 55.59 40F9
9.921 55.09 39F9
9.922 55.18 39F9
9.922 54.82 38F9
9.922 55.05 39F9
9.922 55.14 39F9
9.922 55.16 39F9
9.922 54.84 38F9
9.922 55.65 40F9
9.922 55.68 40F9
9.922 55.11 39F9
9.922 55.61 40F9
9.922 55.07 39F9
9.935 54.66 38F9
9.958 54.82 38F9
9.958 55.18 39F9
9.959 55.09 39F9
9.959 55.11 39F9
9.959 55.56 40F9
9.959 55.07 39F9
9.959 55.54 40F9
9.959 55.59 40F9
9.959 55.16 39F9
9.959 54.48 37F9
9.959 55.68 40F9
9.959 55.61 40F9
9.959 55.65 40F9
9.959 54.8 38F9
9.959 55.05 39F9
9.959 55.63 40F9
9.959 55.14 39F9
