vid percent
DNK000001403 0
DNK000001403 0
DNK000001403 0
DNK000001403 0
DNK000001403 0
DNK000001946 0
DNK000001946 0.4056
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0.1493
DNK000001946 0.5891
DNK000001946 0.853
DNK000001946 0
DNK000001946 6e-04
DNK000001946 1.2764
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0.0034
DNK000001946 0.0608
DNK000001946 0.2646
DNK000001946 0
DNK000001946 0.0299
DNK000001946 0.1473
DNK000001946 0
DNK000001946 0.3597
DNK000001946 0
DNK000001946 0.097
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000001946 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0.1082
DNK000002280 0
DNK000002280 0.4287
DNK000002280 0
DNK000002280 0.0092
DNK000002280 0
DNK000002280 0.0865
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 1.6735
DNK000002280 0.1673
DNK000002280 0.032
DNK000002280 0
DNK000002280 2.4068
DNK000002280 0.0098
DNK000002280 0
DNK000002280 0.0065
DNK000002280 0
DNK000002280 0.0685
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002280 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 0
DNK000002359 1.6119
DNK000002359 0
DNK000002359 0
DNK000002382 0
DNK000002382 0.1301
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0.0376
DNK000002382 0
DNK000002382 0.3021
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0.1815
DNK000002382 2.667
DNK000002382 5e-04
DNK000002382 1.9394
DNK000002382 0.0185
DNK000002382 9e-04
DNK000002382 2.19
DNK000002382 0
DNK000002382 0.0841
DNK000002382 0.0341
DNK000002382 0.7393
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000002382 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0.8013
DNK000003296 0.6336
DNK000003296 0.2094
DNK000003296 2.3762
DNK000003296 0.6572
DNK000003296 0
DNK000003296 0
DNK000003296 0.4387
DNK000003296 0
DNK000003296 4.6818
DNK000003296 0.1242
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0.0021
DNK000003296 0
DNK000003296 0
DNK000003296 0.2645
DNK000003296 0
DNK000003296 0.015
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003296 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 1.1699
DNK000003612 0
DNK000003612 0.4395
DNK000003612 0
DNK000003612 0.1364
DNK000003612 0
DNK000003612 0
DNK000003612 0.0059
DNK000003612 0
DNK000003612 0.1328
DNK000003612 0.2356
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0.0553
DNK000003612 0.4535
DNK000003612 0
DNK000003612 0
DNK000003612 0.6049
DNK000003612 0
DNK000003612 0.0069
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0.1701
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000003612 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0.0799
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0.0154
DNK000004305 0
DNK000004305 0
DNK000004305 2e-04
DNK000004305 0
DNK000004305 0
DNK000004305 0.005
DNK000004305 0
DNK000004305 5e-04
DNK000004305 0
DNK000004305 2.3424
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 1.9489
DNK000004305 0
DNK000004305 0
DNK000004305 13.6388
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004305 0
DNK000004343 0
DNK000004343 1.5648
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0.2257
DNK000004343 2.9286
DNK000004343 0
DNK000004343 0
DNK000004343 0.1798
DNK000004343 0.3078
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0.0874
DNK000004343 0
DNK000004343 0
DNK000004343 0.0693
DNK000004343 0
DNK000004343 0
DNK000004343 0.8268
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004343 0
DNK000004390 0
DNK000004390 0.0015
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0.0233
DNK000004390 0.1338
DNK000004390 0
DNK000004390 0
DNK000004390 0.0828
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0.2186
DNK000004390 0
DNK000004390 0
DNK000004390 0.2271
DNK000004390 0
DNK000004390 0
DNK000004390 0.0083
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004390 0
DNK000004561 12.7537
DNK000004561 0.0043
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 1.9415
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 1.3804
DNK000004561 0.0373
DNK000004561 0
DNK000004561 8.5318
DNK000004561 0
DNK000004561 5.0238
DNK000004561 9.8075
