Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000013667 2015 15.959 55.031 a_stock 11 0 0 0 0 0 0 0 4 9 2 0 0 0 0
DNK000034715 2015 16.861 55.258 a_stock 11 0 0 0 1 2 4 9 8 24 38 46 51 25 22
DNK000032153 2015 15.474 55.341 a_stock 11 0 0 2 12 24 35 58 49 114 137 144 144 114 81
DNK000038431 2015 15.287 54.873 a_stock 11 0 0 0 0 0 0 0 18 106 131 127 139 70 104
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 30 89 103 76 137 310 1145 1177 1080 1191 668 900
DNK000029865 2015 14.885 54.819 a_stock 11 0 0 2 6 6 4 8 5 17 16 15 17 11 12
DNK000013667 2015 15.959 55.031 a_stock 11 0 0 0 0 0 0 0 2 1 0 0 0 0 0
DNK000012856 2015 14.776 54.797 a_stock 11 0 0 0 0 0 0 0 0 1 1 1 1 1 1
DNK000007263 2015 15.509 55.196 a_stock 11 0 0 14 71 58 60 160 71 333 443 406 398 296 188
DNK000007263 2015 15.509 55.196 a_stock 11 0 0 15 73 62 65 169 78 350 463 427 420 313 200
DNK000032153 2015 15.474 55.341 a_stock 11 0 0 2 12 25 36 60 50 118 141 149 148 118 84
DNK000038431 2015 15.287 54.873 a_stock 11 0 0 0 0 0 0 0 24 115 130 123 135 67 101
DNK000013667 2015 15.948 55.068 a_stock 11 0 0 3 10 18 26 78 12 84 121 113 136 90 60
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 34 102 118 87 156 328 1234 1274 1171 1294 732 975
DNK000034715 2015 16.871 55.222 a_stock 11 0 0 0 1 2 5 10 8 27 44 53 60 29 25
DNK000007263 2015 15.509 55.196 a_stock 11 0 0 15 75 65 71 178 85 367 484 449 441 330 212
DNK000034715 2015 16.871 55.222 a_stock 11 0 0 0 1 2 5 10 9 27 44 53 60 29 25
DNK000029865 2015 14.898 54.782 a_stock 11 0 0 4 13 14 10 18 15 62 65 60 70 45 49
DNK000006040 2015 15.559 55.225 a_stock 11 0 0 0 3 5 8 13 11 26 31 32 32 26 18
DNK000001403 2015 15.129 55.034 a_stock 11 0 0 43 218 151 100 181 31 91 114 110 123 122 64
DNK000007263 2015 15.509 55.196 a_stock 11 0 0 15 76 69 76 187 93 384 504 470 463 347 225
DNK000038431 2015 15.226 54.881 a_stock 11 0 0 8 24 35 35 61 14 100 132 130 142 70 107
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 39 116 134 97 175 350 1335 1380 1271 1408 801 1057
DNK000038431 2015 15.226 54.881 a_stock 11 0 0 0 0 0 0 0 18 106 132 128 140 69 105
DNK000013667 2015 15.887 55.076 a_stock 11 0 0 4 14 23 32 98 16 107 154 144 172 114 76
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 43 129 150 108 195 375 1438 1488 1371 1520 871 1139
DNK000001403 2015 15.129 55.034 a_stock 11 0 0 79 398 275 182 331 81 229 284 273 305 302 159
DNK000006040 2015 15.559 55.225 a_stock 11 0 0 0 3 5 8 13 11 26 31 32 32 26 18
DNK000032153 2015 15.425 55.313 a_stock 11 0 0 2 12 25 36 60 50 118 141 149 149 118 84
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 16 81 78 89 209 111 427 557 525 518 391 255
DNK000029865 2015 14.837 54.79 a_stock 11 0 0 5 16 19 13 23 16 71 74 69 80 52 57
DNK000038431 2015 15.226 54.881 a_stock 11 0 0 0 0 0 0 0 24 115 130 124 135 66 101
DNK000034715 2015 16.932 55.213 a_stock 11 0 0 0 2 3 5 12 10 31 49 60 67 33 29
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 48 143 165 120 216 403 1546 1594 1469 1632 940 1220
DNK000038431 2015 15.226 54.881 a_stock 11 0 0 0 0 0 0 0 21 54 44 39 42 20 31
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 2 13 27 39 65 54 127 153 161 160 127 91
DNK000029865 2015 14.837 54.79 a_stock 11 0 0 5 16 19 13 23 17 72 75 70 80 52 57
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 48 143 165 120 216 437 1658 1700 1566 1741 1007 1299
DNK000034715 2015 16.932 55.213 a_stock 11 0 0 0 2 3 5 12 10 31 49 60 67 33 29
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 17 86 89 104 235 132 478 618 590 582 441 292
DNK000013667 2015 15.838 55.047 a_stock 11 0 0 4 14 23 32 96 15 107 155 144 172 114 76
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 120 607 418 277 505 110 318 396 381 425 421 221
DNK000034715 2015 16.932 55.213 a_stock 11 0 0 0 2 3 5 12 10 31 49 60 67 33 29
