x;y;idx.port
NA8;-1.144;60.1707;196
NA9;10.7127;56.5333;197
NA10;10.9253;57.2967;198
NA11;10.9253;57.296;199
NA13;10.2407;55.094;200
NA14;10.6713;54.7507;201
NA16;9.988;54.6853;202
NA17;-4.3267;48.0993;203
NA19;8.304;56.55;204
NA20;9.63;55.513;205
NA21;10.052;55.822;206
NA22;9.783;54.913;207
NA23;15.137;55.058;208
NA24;-0.066;53.581;209
NA25;8.565;55.088;210
NA26;10.588;57.718;211
NA27;10.2585;54.942;212
NA28;12.467;54.953;213
NA30;12.375;55.253;214
NA32;8.219;56.698;215
NA33;8.222;56.697;216
NA34;10.502;57.494;217
NA35;14.692;55.094;218
NA36;8.5485;56.583;219
NA37;9.8885;55.271;220
NA38;11.709;55.72;221
NA39;11.35;55.88;222
NA40;14.835;55.249;223
NA41;10.6645;55.449;224
NA42;11.2537;55.98798;225
NA43;9.034;57.156;226
NA44;9.128;57.259;227
NA45;12.60204;55.72024;228
NA46;10.82736;54.93368;229
NA47;10.83198;54.93308;230
NA48;10.66025;56.19643;231
NA49;11.13019;55.88393;232
NA50;9.988302;55.83189;233
NA51;10.542769;57.44643;234
NA52;11.504004;56.72321;235
NA53;11.076788;55.67857;236
NA54;10.617532;55.60714;237
NA55;10.70298;54.9375;238
NA56;11.15155;55.16964;239
Göteborg;11.901383;57.691317;240
Öckerö;11.657167;57.70675;241
Bohus-Björkö;11.675;57.733333;242
Karlskrona-Saltö;15.573333;56.161667;243
Fiskebäck;11.858917;57.645267;244
Lerkil;11.916667;57.453833;245
Träslövsläge;12.283333;57.05;246
Grenå;10.923667;56.409;247
Ekenabben, Sturkö;15.64;56.101667;248
Göteborg-Fiskhamnen;11.92595;57.699017;249
Sletten;12.5255;55.9385;250
Glommen;12.35;56.933333;251
Hamburgsund;11.27;58.551667;252
Sandvik, Styrsö;11.761667;57.617333;253
Bua;12.115;57.24;254
Nogersund;14.738333;56.003333;255
Tejn;14.812167;55.267833;256
Strandby (Nordjylland);10.502833;57.4945;257
Bäckviken, Ven;12.721667;55.902833;258
Krossekärr;11.218667;58.695167;259
Trelleborg;13.14645;55.3713;260
Rörö;11.6205;57.7725;261
Skillinge;14.285;55.473333;262
Karlskrona-Handelshamnen;15.591667;56.168333;263
Ronehamn;18.493333;57.173333;264
Neksø;15.135333;55.062;265
Kungshamn;11.25;58.361667;266
Hyppeln;11.618333;57.758333;267
Hasle;14.703667;55.186;268
Donsö;11.7945;57.599;269
Ålabodarna;12.775;55.94;270
Helsingborg;12.718333;56.046667;271
Hörvik;14.771667;56.041667;272
Hel                    Hel;18.80585;54.6048;273
Vikhög;12.96;55.728333;274
Borstahusen;12.805;55.895;275
Wladyslawowo           Wla;18.4076;54.791567;276
Heden, Hönö;11.664333;57.694833;277
Darlowo                Dar;16.410833;54.420783;278
Fotö;11.656667;57.666667;279
Träskö Storö;18.796667;59.447333;280
Spikarna, Alnön;17.528;62.362433;281
Havstenssund;11.18;58.755;282
Sören;22.746083;65.866267;283
Klåva, Hönö;11.65;57.681667;284
Källö-Knippla;11.655;57.75;285
Ustka                  Ust;16.858517;54.577333;286
Resö;11.166667;58.8;287
Bleket;11.566667;57.95;288
Herrvik;18.918333;57.423333;289
Backby;18.773667;60.1745;290
Botvaldevik;18.808333;57.585;291
Lerwick;-1.148067;60.1529;292
Saltö;11.125333;58.878;293
Hälsö;11.66;57.731667;294
Risør;9.231267;58.719183;295
Båtskärsnäs;23.424667;65.779667;296
Kalix-Nyborg;23.189417;65.792717;297
Bohus-Malmön;11.344;58.3455;298
Öregrund;18.445;60.34;299
Hällevikstrand;11.445;58.123333;300
Svanshall;12.666667;56.25;301
Svanhalla;15.891667;56.118333;302
Björnhuvudet, Öckerö;11.665633;57.707767;303
