LE_MET_level6 beta.LE_MET_level6
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -0.21963
21 -20
21 -20
21 -20
21 0
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 0
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 0.37934
22 -20
22 -20
22 -20
22 -2.62202
22 -20
22 -20
22 1.09106
22 -20
22 -0.23899
22 0.13353
22 -20
22 -20
22 -20
22 0.87163
22 -20
22 -2.45316
22 -20
22 -1.03555
22 -3.04597
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 -20
23 0
23 0.50801
23 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 -20
24 0.27257
24 -20
24 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
3 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -0.01598
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -0.2005
4 -2.55626
4 -0.36853
4 -2.47865
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
4 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 0.74528
5 0
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 1.39715
5 -20
5 -20
5 -0.44136
5 -20
5 0
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
5 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
6 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
7 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 3.01207
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
8 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 0.54633
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 -20
9 1.3282
9 -20
9 -20
9 0.72013
9 0.90617
9 -20
9 0
9 -20
9 -20
9 -20
